,종목명,코드,유형,순자산,종가,거래량,수익율,총보수,운용사
262,KODEX KTOP30,229720,테마/우량주,122,20315,3019,22.27,0.25,삼성자산운용
263,TIGER 코스피중형주,277650,스타일/스타일,122,14360,7291,19.42,0.29,미래에셋자산운용
264,KOSEF 코스피100,153270,시장지수/코스피100,122,29010,4820,25.01,0.2,키움자산운용
265,TIGER KTOP30,228820,테마/우량주,121,10030,4407,21.87,0.25,미래에셋자산운용
266,KBSTAR KRX300레버리지,307010,파생상품/레버리지,120,17110,1415,53.38,0.55,케이비자산운용
267,KODEX 모멘텀Plus,244620,투자전략/투자전략,119,11895,11736,8.63,0.3,삼성자산운용
268,TIGER 일본니케이225,241180,해외지수/해외지수,118,16935,4191,11.41,0.35,미래에셋자산운용
269,ARIRANG 200선물레버리지,253150,파생상품/레버리지,118,39085,9091,56.28,0.06,한화자산운용
270,TIGER 모멘텀,147970,투자전략/투자전략,117,20245,11926,11.02,0.29,미래에셋자산운용
271,마이티 코스피100,159800,시장지수/코스피100,117,29040,12,25.15,0.39,DB자산운용
272,KODEX 게임산업,300950,테마/기타,116,12840,23360,2.27,0.45,삼성자산운용
273,ARIRANG 고배당주채권혼합,251600,기타/기타,115,10495,5309,8.87,0.2,한화자산운용
274,KINDEX 스마트모멘텀,272220,투자전략/투자전략,115,16425,16108,25.33,0.19,한국투자신탁운용
275,KODEX 미국채10년선물,308620,해외지수/해외지수,115,11495,9195,-6.16,0.3,삼성자산운용
276,KODEX TRF7030,329670,기타/기타,114,11395,3289,5.85,0.1,삼성자산운용
277,KOSEF 미국달러선물인버스,139660,파생상품/인버스,113,10905,3447,6.55,0.49,키움투자자산운용
278,TIGER 코스피대형주,277640,스타일/스타일,111,13895,7419,24.78,0.29,미래에셋자산운용
279,KINDEX 러시아MSCI(합성),265690,해외지수/해외지수,111,24785,4684,8.37,0.5,한국투자신탁운용
280,TIGER 경기방어채권혼합,237440,기타/기타,111,10105,4946,4.91,0.2,미래에셋자산운용
