,종목명,코드,유형,순자산,종가,거래량,수익율,총보수,운용사
312,TIGER 일본니케이225,241180,해외지수/해외지수,144,16155,6666,-8.62,0.35,미래에셋자산운용
313,KBSTAR V&S셀렉트밸류채권혼합,241390,기타/기타,143,11940,7089,-2.53,0.23,케이비자산운용
314,TIGER LG그룹+펀더멘털,138530,그룹주/LG,143,9770,14354,-7.7,0.15,미래에셋자산운용
315,ARIRANG 국채선물3년,298340,채권/국공채권,142,53060,4496,-0.61,0.1,한화자산운용
316,KODEX 기계장비,102960,섹터/산업재,142,5300,33723,-7.02,0.45,삼성자산운용
317,KODEX 필수소비재,266410,섹터/필수소비재,141,7825,31216,-8.0,0.45,삼성자산운용
318,KINDEX 일본Nikkei225(H),238720,해외지수/해외지수,140,17640,9431,-6.52,0.3,한국투자신탁운용
320,KODEX 코스닥150롱코스피200숏선물,360150,기타/기타,133,8830,334,-0.79,0.64,삼성자산운용
321,TIGER MSCI KOREA ESG유니버설,289250,시장지수/MSCI Korea Index,133,10985,972,-8.49,0.4,미래에셋자산운용
322,KINDEX 국고채10년,365780,채권/국공채권,132,91800,663,-3.89,0.02,한국투자신탁운용
325,TIGER 배당성장,211560,스타일/스타일,127,18355,10710,-3.97,0.15,미래에셋자산운용
326,KODEX 미국스마트모빌리티S&P,390400,해외지수/해외지수,126,7835,10825,-15.11,0.45,삼성자산운용
327,KODEX Fn웹툰&드라마,395150,테마/기타,125,8890,24750,-5.63,0.45,삼성자산운용
329,HANARO Fn5G산업,367740,섹터/IT,124,13085,6995,-2.68,0.45,엔에이치아문디자산운용
330,KINDEX 미국IT인터넷S&P(합성 H),280320,해외지수/해외지수,124,15230,3171,-21.07,0.5,한국투자신탁운용
331,파워 코스피100,140950,시장지수/코스피100,124,28135,187,-8.0,0.16,교보악사자산운용
332,KODEX 미국S&P산업재(합성),200030,해외지수/해외지수,124,21615,3877,-0.02,0.25,삼성자산운용
333,ARIRANG 고배당주채권혼합,251600,기타/기타,123,11190,6412,-0.09,0.2,한화자산운용
334,KBSTAR 200IT,285000,섹터/IT,122,14860,14750,-8.38,0.19,케이비자산운용
335,ARIRANG 코스피50,122090,시장지수/코스피50,122,25365,3635,-9.22,0.33,한화자산운용
336,SOL KRX300,292500,시장지수/KRX300,120,17050,4105,-7.56,0.05,신한자산운용
338,TIGER 우량가치,227570,테마/우량주,119,11655,6523,-2.26,0.4,미래에셋자산운용
339,KODEX Fn K-뉴딜디지털플러스,368680,테마/기타,117,9710,8304,-18.91,0.09,삼성자산운용
340,KBSTAR 헬스케어채권혼합,253290,기타/기타,116,11610,6954,-3.81,0.35,케이비자산운용
341,KODEX 최소변동성,279540,투자전략/투자전략,116,11490,647,-5.39,0.3,삼성자산운용
342,KODEX KTOP30,229720,테마/우량주,115,19110,1098,-11.14,0.25,삼성자산운용
344,KODEX 200exTOP,337150,시장지수/코스피200,113,12490,13,-7.55,0.3,삼성자산운용
345,KBSTAR KRX300,292050,시장지수/KRX300,112,17250,2110,-7.66,0.05,케이비자산운용
346,KINDEX 밸류대형,143460,투자전략/투자전략,112,9330,14729,-4.16,0.15,한국투자신탁운용
348,KINDEX 중장기국공채액티브,272910,채권/국공채권,112,98900,34,-1.36,0.08,한국투자신탁운용
