,game_id,회차,성적,타자_1_1,타자_1_2,타자_1_3,타자_1_4,타자_1_5,타자_1_6,타자_1_7,타자_1_8,타자_2_1,타자_2_2,타자_2_3,타자_2_4,타자_2_5,타자_2_6,타자_2_7,타자_2_8,타자_2_9
126,201900186,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
127,201900186,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
128,201900186,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,201900186,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
130,201900186,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
131,201900186,6,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
132,201900186,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
133,201900186,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
134,201900186,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
135,201900197,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
136,201900197,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
137,201900197,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
138,201900197,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
139,201900197,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
140,201900197,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
141,201900197,7,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
142,201900197,8,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
143,201900197,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
144,201900200,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
145,201900200,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
146,201900200,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
147,201900200,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
148,201900200,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
149,201900200,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
150,201900200,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
151,201900200,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
152,201900200,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
153,201900201,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
154,201900201,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
155,201900201,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
156,201900201,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157,201900201,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
158,201900201,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
159,201900201,7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160,201900201,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
161,201900201,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,201900203,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
163,201900203,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
164,201900203,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
165,201900203,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,201900203,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
167,201900203,6,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
168,201900203,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
169,201900203,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170,201900203,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
171,201900208,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
172,201900208,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
173,201900208,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
174,201900208,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
175,201900208,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
176,201900208,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
177,201900208,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
178,201900208,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
179,201900208,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
180,201900213,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
